# Tables (as Nickname, Field)
GUIDs,AdmGUIDIsPreferred_tab
GUIDs,AdmGUIDType_tab
GUIDs,AdmGUIDValue_tab
OtherCounts,CatOtherCountsType_tab
OtherCounts,CatOtherCountsValue_tab
OtherNumbers,CatOtherNumbersType_tab
OtherNumbers,CatOtherNumbersValue_tab
Taxonomy,IdeTaxonRef_tab
Taxonomy,IdeNamedPart_tab
Taxonomy,IdeTextureStructure_tab
Taxonomy,IdeComments_tab
CurrentLocation,LocLocationRef_tab
CurrentLocation,LocMovementNotes_tab
Movement,LocDateMoved0
Movement,LocMovedByRef_tab
Measurements,MeaType_tab
Measurements,MeaVerbatimValue_tab
Measurements,MeaVerbatimUnit_tab
Measurements,MeaStandardizedValue_tab
Measurements,MeaStandardizedUnit_tab
Color,MinColor_tab
Multimedia,MulMultiMediaRef_tab
Notes,NotNmnhText0
Notes,NotNmnhType_tab
Notes,NotNmnhAttributedToRef_nesttab
Notes,NotNmnhDate0
InventoryStatus,StaInventoryStatus_tab
InventoryStatus,StaInventoryRecordedByRef_tab
InventoryStatus,StaInventoryDate0
InventoryStatus,StaInventoryRemarks_tab
Preparations,ZooPreparation_tab
Preparations,ZooPreparationCount_tab
Analysis,PetChemicalAnalysisRef_tab
Related,RelObjectsRef_tab
Related,RelRelationship_tab
Related,RelRelationshipToMe_tab
Related,RelRemarks_tab
RecordStatus,StaRecordDate_tab
RecordStatus,StaRecordDate0
RecordStatus,StaRecordStatus_tab
AccessionLots,AccAccessionLotRef_tab
Acquisition,AcqTransactionsRef_tab
Bibliography,BibBibliographyRef_tab
