# Tables (as Nickname, Field)
SiteVisit,ColSiteVisitNumbers_tab
SiteName,LocSiteName_tab
SiteOwner,LocSiteOwnerRef_tab
Volume,VolVolume_tab
Volume,VolVolumeUncertainty_tab
TimeVisited,ColTimeVisitedFrom0
TimeVisited,ColTimeVisitedFromModifier_tab
TimeVisited,ColTimeVisitedConjunction_tab
TimeVisited,ColTimeVisitedTo0
TimeVisited,ColTimeVisitedToModifier_tab
Participant,ColParticipantRef_tab
Participant,ColParticipantRole_tab
LatLong,LatLatitude_nesttab
LatLong,LatLongitude_nesttab
LatLong,LatLatitudeDecimal_nesttab
LatLong,LatLongitudeDecimal_nesttab
LatLong,LatLatitudeVerbatim_nesttab
LatLong,LatLongitudeVerbatim_nesttab
LatLong,LatModifier_nesttab
LatLong,LatComment_nesttab
LatLong,LatDetSource_tab
LatLong,LatLatLongDetermination_tab
LatLong,LatDeterminedByRef_tab
LatLong,LatDetDate0
LatLong,LatRadiusVerbatim_tab
LatLong,LatRadiusNumeric_tab
LatLong,LatGeometry_tab
LatLong,LatRadiusProbability_tab
LatLong,LatRadiusUnit_tab
LatLong,LatDatum_tab
LatLong,LatCentroidLatitude0
LatLong,LatCentroidLatitudeDec_tab
LatLong,LatCentroidLongitude0
LatLong,LatCentroidLongitudeDec_tab
LatLong,LatDeriveCentroid_tab
LatLong,LatCentroidLongitudeDec_tab
LatLong,LatGeoreferencingNotes0
LatLong,LatPreferred_tab
UTM,MapUTMEastingFloat_tab
UTM,MapUTMNorthingFloat_tab
UTM,MapUTMZone_tab
UTM,MapUTMDatum_tab
UTM,MapUTMFalseEasting_tab
UTM,MapUTMFalseNorthing_tab
UTM,MapUTMMethod_tab
UTM,MapUTMDeterminedByRef_tab
UTM,MapUTMComment_tab
OtherCoordinates,MapOtherKind_tab
OtherCoordinates,MapOtherCoordA_tab
OtherCoordinates,MapOtherCoordB_tab
OtherCoordinates,MapOtherDatum_tab
OtherCoordinates,MapOtherSource_tab
OtherCoordinates,MapOtherMethod_tab
OtherCoordinates,MapOtherOffset_tab
OtherCoordinates,MapOtherDeterminedByRef_tab
OtherCoordinates,MapOtherComment_tab
Contract,ColContractNumber_tab
Contract,ColContractRecipientRef_tab
Contract,ColContractDescription_tab
Permit,ColPermitNumber_tab
Permit,ColPermitIssuerRef_tab
Permit,ColPermitDescription_tab
Notes,NteText0
Notes,NteDate0
Notes,NteType_tab
Notes,NteAttributedToRef_nesttab
Notes,NteMetadata_tab
Multimedia,MulMultiMediaRef_tab
Bibliography,ColBibliographicRef_tab
GUIDs,AdmGUIDIsPreferred_tab
GUIDs,AdmGUIDType_tab
GUIDs,AdmGUIDValue_tab
